OBJECTNUMMER;SELECTIE;LABEL;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
832;6024;"6024-6776";"POLYGON((4.8301331 52.3513159,4.8305768 52.3512378,4.8320468 52.3510555,4.8326663 52.3509328,4.8327834 52.3508313,4.8329423 52.3504848,4.8327936 52.3500136,4.8322254 52.3491332,4.8320742 52.3488548,4.8318834 52.3486822,4.8313477 52.3482816,4.8306172 52.3480042,4.8298873 52.3476947,4.8294785 52.3473228,4.8295397 52.3470618,4.8336964 52.3471014,4.8338895 52.3472582,4.8337914 52.3513624,4.8301331 52.3513159))";"POLYGON((52.3513159 4.8301331,52.3512378 4.8305768,52.3510555 4.8320468,52.3509328 4.8326663,52.3508313 4.8327834,52.3504848 4.8329423,52.3500136 4.8327936,52.3491332 4.8322254,52.3488548 4.8320742,52.3486822 4.8318834,52.3482816 4.8313477,52.3480042 4.8306172,52.3476947 4.8298873,52.3473228 4.8294785,52.3470618 4.8295397,52.3471014 4.8336964,52.3472582 4.8338895,52.3513624 4.8337914,52.3513159 4.8301331))";4.831684;52.3492121;
833;6024;"6024-6776";"POLYGON((4.8321301 52.3728289,4.8314202 52.3711338,4.8314727 52.3710094,4.8317967 52.3710825,4.8323966 52.3711538,4.8325297 52.3711816,4.8332655 52.3711595,4.8340009 52.3709509,4.8341801 52.3708232,4.8342494 52.371147,4.8350361 52.3730504,4.8343783 52.3731521,4.8339793 52.3726885,4.8332479 52.3724642,4.8325115 52.3726342,4.8321301 52.3728289))";"POLYGON((52.3728289 4.8321301,52.3711338 4.8314202,52.3710094 4.8314727,52.3710825 4.8317967,52.3711538 4.8323966,52.3711816 4.8325297,52.3711595 4.8332655,52.3709509 4.8340009,52.3708232 4.8341801,52.371147 4.8342494,52.3730504 4.8350361,52.3731521 4.8343783,52.3726885 4.8339793,52.3724642 4.8332479,52.3726342 4.8325115,52.3728289 4.8321301))";4.83322815;52.37198765;
834;6024;"6024-6776";"POLYGON((4.8325853 52.3641812,4.8334203 52.3641892,4.8334011 52.3651687,4.8325853 52.3641812))";"POLYGON((52.3641812 4.8325853,52.3641892 4.8334203,52.3651687 4.8334011,52.3641812 4.8325853))";4.8330028;52.36467495;
835;6024;"6024-6776";"POLYGON((4.8341757 52.3658578,4.8342162 52.3642527,4.8419704 52.3642984,4.841906 52.3668957,4.8418075 52.3682985,4.8417284 52.3689502,4.8413673 52.3689484,4.8408997 52.3692305,4.8395353 52.3692933,4.8348715 52.3699143,4.8349041 52.3698173,4.8349347 52.3693681,4.8349288 52.3689187,4.8349544 52.3684694,4.8350859 52.3680207,4.8352577 52.367572,4.8353591 52.3671231,4.8352334 52.3666732,4.834722 52.3662214,4.8341757 52.3658578))";"POLYGON((52.3658578 4.8341757,52.3642527 4.8342162,52.3642984 4.8419704,52.3668957 4.841906,52.3682985 4.8418075,52.3689502 4.8417284,52.3689484 4.8413673,52.3692305 4.8408997,52.3692933 4.8395353,52.3699143 4.8348715,52.3698173 4.8349041,52.3693681 4.8349347,52.3689187 4.8349288,52.3684694 4.8349544,52.3680207 4.8350859,52.367572 4.8352577,52.3671231 4.8353591,52.3666732 4.8352334,52.3662214 4.834722,52.3658578 4.8341757))";4.83807305;52.3670835;
836;6024;"6024-6776";"POLYGON((4.8420534 52.3614923,4.841974 52.3639999,4.8342527 52.3639245,4.8342373 52.3638646,4.8343009 52.3622037,4.83484 52.3625034,4.8355713 52.3627253,4.8363045 52.3627921,4.8370393 52.3627445,4.8377747 52.3626328,4.838511 52.3624408,4.839248 52.3622149,4.8399866 52.3618305,4.8400883 52.3617524,4.8404361 52.3613046,4.8406873 52.3608564,4.8407348 52.360685,4.8408097 52.3604076,4.8408413 52.3599584,4.8409287 52.3595094,4.8414865 52.3592519,4.8418526 52.3592056,4.8420534 52.3614923))";"POLYGON((52.3614923 4.8420534,52.3639999 4.841974,52.3639245 4.8342527,52.3638646 4.8342373,52.3622037 4.8343009,52.3625034 4.83484,52.3627253 4.8355713,52.3627921 4.8363045,52.3627445 4.8370393,52.3626328 4.8377747,52.3624408 4.838511,52.3622149 4.839248,52.3618305 4.8399866,52.3617524 4.8400883,52.3613046 4.8404361,52.3608564 4.8406873,52.360685 4.8407348,52.3604076 4.8408097,52.3599584 4.8408413,52.3595094 4.8409287,52.3592519 4.8414865,52.3592056 4.8418526,52.3614923 4.8420534))";4.83814535;52.36160275;
837;6024;"6024-6776";"POLYGON((4.834343 52.361107,4.8344538 52.3582128,4.8350132 52.358224,4.8353885 52.3590345,4.8354258 52.359484,4.8352826 52.3599328,4.8350456 52.360381,4.8348639 52.3605896,4.834343 52.361107))";"POLYGON((52.361107 4.834343,52.3582128 4.8344538,52.358224 4.8350132,52.3590345 4.8353885,52.359484 4.8354258,52.3599328 4.8352826,52.360381 4.8350456,52.3605896 4.8348639,52.361107 4.834343))";4.8348844;52.3596599;
838;6024;"6024-6776";"POLYGON((4.8407425 52.3513946,4.8345393 52.3513459,4.8346306 52.3474658,4.8350263 52.3475057,4.8357601 52.3475118,4.8372286 52.3474346,4.8377664 52.3473615,4.8386992 52.3471904,4.8394308 52.3473692,4.8394253 52.3478185,4.8401536 52.3482713,4.8404306 52.3482726,4.8402166 52.3491703,4.8402278 52.3496198,4.8403367 52.3505191,4.8404555 52.350969,4.8407425 52.3513946))";"POLYGON((52.3513946 4.8407425,52.3513459 4.8345393,52.3474658 4.8346306,52.3475057 4.8350263,52.3475118 4.8357601,52.3474346 4.8372286,52.3473615 4.8377664,52.3471904 4.8386992,52.3473692 4.8394308,52.3478185 4.8394253,52.3482713 4.8401536,52.3482726 4.8404306,52.3491703 4.8402166,52.3496198 4.8402278,52.3505191 4.8403367,52.350969 4.8404555,52.3513946 4.8407425))";4.8376409;52.3492925;
839;6024;"6024-6776";"MULTIPOLYGON(((4.8398471 52.3551805,4.8359709 52.3551544,4.8359584 52.3561695,4.8345286 52.356123,4.8345465 52.3520725,4.8360581 52.3520596,4.8360725 52.352209,4.840769 52.3522606,4.8407206 52.3543297,4.8405374 52.3545645,4.8401234 52.3550119,4.84007 52.3550628,4.8398471 52.3551805),(4.8363995 52.3551308,4.837025 52.3549976,4.837872 52.3547534,4.8386069 52.3546704,4.8392358 52.3545584,4.8393426 52.354521,4.8398237 52.3541117,4.8400852 52.3538238,4.8401443 52.3536639,4.8401196 52.3532144,4.8400933 52.353162,4.8393616 52.3529892,4.8386269 52.3530515,4.837891 52.3532147,4.8371532 52.3535292,4.8369561 52.3536491,4.8364145 52.3539163,4.835627 52.3545417,4.8355312 52.3549906,4.8356661 52.3550834,4.8363995 52.3551308)))";"MULTIPOLYGON(((52.3551805 4.8398471,52.3551544 4.8359709,52.3561695 4.8359584,52.356123 4.8345286,52.3520725 4.8345465,52.3520596 4.8360581,52.352209 4.8360725,52.3522606 4.840769,52.3543297 4.8407206,52.3545645 4.8405374,52.3550119 4.8401234,52.3550628 4.84007,52.3551805 4.8398471),(52.3551308 4.8363995,52.3549976 4.837025,52.3547534 4.837872,52.3546704 4.8386069,52.3545584 4.8392358,52.354521 4.8393426,52.3541117 4.8398237,52.3538238 4.8400852,52.3536639 4.8401443,52.3532144 4.8401196,52.353162 4.8400933,52.3529892 4.8393616,52.3530515 4.8386269,52.3532147 4.837891,52.3535292 4.8371532,52.3536491 4.8369561,52.3539163 4.8364145,52.3545417 4.835627,52.3549906 4.8355312,52.3550834 4.8356661,52.3551308 4.8363995)))";4.8376488;52.35411455;
840;6024;"6024-6776";"POLYGON((4.8346147 52.3575603,4.8345961 52.3562348,4.8366905 52.3562532,4.8355088 52.3567881,4.8349524 52.3572349,4.8348636 52.3576047,4.8346147 52.3575603))";"POLYGON((52.3575603 4.8346147,52.3562348 4.8345961,52.3562532 4.8366905,52.3567881 4.8355088,52.3572349 4.8349524,52.3576047 4.8348636,52.3575603 4.8346147))";4.8356433;52.35691975;
841;6024;"6024-6776";"POLYGON((4.8346109 52.3704208,4.8347435 52.3702806,4.8347644 52.3702333,4.8376102 52.3698119,4.8398572 52.3695535,4.8406262 52.3695266,4.8406176 52.3702224,4.8401087 52.3702908,4.8406166 52.3702931,4.839877 52.3707391,4.8398822 52.3703207,4.8383394 52.370732,4.8376727 52.3708834,4.8369352 52.3711503,4.8363128 52.3716214,4.8360133 52.3720694,4.8359259 52.3725184,4.8360536 52.3728382,4.8356207 52.3729077,4.8346109 52.3704208))";"POLYGON((52.3704208 4.8346109,52.3702806 4.8347435,52.3702333 4.8347644,52.3698119 4.8376102,52.3695535 4.8398572,52.3695266 4.8406262,52.3702224 4.8406176,52.3702908 4.8401087,52.3702931 4.8406166,52.3707391 4.839877,52.3703207 4.8398822,52.370732 4.8383394,52.3708834 4.8376727,52.3711503 4.8369352,52.3716214 4.8363128,52.3720694 4.8360133,52.3725184 4.8359259,52.3728382 4.8360536,52.3729077 4.8356207,52.3704208 4.8346109))";4.83761855;52.37121715;
842;6024;"6024-6776";"POLYGON((4.8356093 52.3777472,4.8357335 52.3777276,4.8358431 52.377745,4.8363361 52.3789745,4.8362499 52.3789881,4.835985 52.3783607,4.8357396 52.3779101,4.8356093 52.3777472))";"POLYGON((52.3777472 4.8356093,52.3777276 4.8357335,52.377745 4.8358431,52.3789745 4.8363361,52.3789881 4.8362499,52.3783607 4.835985,52.3779101 4.8357396,52.3777472 4.8356093))";4.8359727;52.37835785;
843;6024;"6024-6776";"POLYGON((4.8389906 52.3758355,4.836808 52.3761701,4.8357701 52.3733189,4.8363656 52.3732108,4.836601 52.3734203,4.8369047 52.3736116,4.8376354 52.373897,4.8383677 52.3740592,4.8391002 52.3741979,4.8394909 52.3743324,4.839828 52.3747196,4.8398582 52.3747835,4.8396127 52.3752317,4.83913 52.3756789,4.8389906 52.3758355))";"POLYGON((52.3758355 4.8389906,52.3761701 4.836808,52.3733189 4.8357701,52.3732108 4.8363656,52.3734203 4.836601,52.3736116 4.8369047,52.373897 4.8376354,52.3740592 4.8383677,52.3741979 4.8391002,52.3743324 4.8394909,52.3747196 4.839828,52.3747835 4.8398582,52.3752317 4.8396127,52.3756789 4.83913,52.3758355 4.8389906))";4.83781415;52.37469045;
844;6024;"6024-6776";"POLYGON((4.8408052 52.3782517,4.8380615 52.3786938,4.8369995 52.3764695,4.8387018 52.376195,4.8385933 52.3765752,4.8387639 52.3770254,4.8394698 52.377478,4.8397923 52.3776211,4.8404011 52.3779317,4.8408052 52.3782517))";"POLYGON((52.3782517 4.8408052,52.3786938 4.8380615,52.3764695 4.8369995,52.376195 4.8387018,52.3765752 4.8385933,52.3770254 4.8387639,52.377478 4.8394698,52.3776211 4.8397923,52.3779317 4.8404011,52.3782517 4.8408052))";4.83890235;52.3774444;
845;6024;"6024-6776";"POLYGON((4.8385782 52.3800144,4.8381724 52.3789332,4.8410304 52.3785009,4.8412054 52.3788341,4.8409127 52.3792821,4.8398873 52.3797268,4.8390292 52.379959,4.8385782 52.3800144))";"POLYGON((52.3800144 4.8385782,52.3789332 4.8381724,52.3785009 4.8410304,52.3788341 4.8412054,52.3792821 4.8409127,52.3797268 4.8398873,52.379959 4.8390292,52.3800144 4.8385782))";4.8396889;52.37925765;
846;6024;"6024-6776";"POLYGON((4.8436053 52.3674199,4.8425231 52.3674001,4.8426113 52.3643101,4.8448579 52.3643424,4.8448288 52.3657,4.8447095 52.3658181,4.844335 52.3664056,4.8440617 52.3667139,4.843729 52.3671618,4.8436053 52.3674199))";"POLYGON((52.3674199 4.8436053,52.3674001 4.8425231,52.3643101 4.8426113,52.3643424 4.8448579,52.3657 4.8448288,52.3658181 4.8447095,52.3664056 4.844335,52.3667139 4.8440617,52.3671618 4.843729,52.3674199 4.8436053))";4.8436905;52.365865;
847;6024;"6024-6776";"POLYGON((4.8450254 52.3606399,4.8448544 52.3640337,4.8426009 52.3639793,4.8426877 52.3616079,4.8427504 52.3606074,4.8430305 52.3606114,4.8429214 52.3608667,4.8429289 52.3613425,4.8435502 52.3617683,4.8436572 52.3618003,4.8443913 52.3617978,4.84482 52.3613248,4.8448685 52.3608757,4.8447099 52.3606354,4.8450254 52.3606399))";"POLYGON((52.3606399 4.8450254,52.3640337 4.8448544,52.3639793 4.8426009,52.3616079 4.8426877,52.3606074 4.8427504,52.3606114 4.8430305,52.3608667 4.8429214,52.3613425 4.8429289,52.3617683 4.8435502,52.3618003 4.8436572,52.3617978 4.8443913,52.3613248 4.84482,52.3608757 4.8448685,52.3606354 4.8447099,52.3606399 4.8450254))";4.84381315;52.36232055;
848;6024;"6024-6776";"POLYGON((4.8771354 52.3295619,4.877434 52.3292734,4.8793201 52.3292702,4.8792949 52.3314763,4.8785589 52.3309162,4.8772964 52.330012,4.8771354 52.3295619))";"POLYGON((52.3295619 4.8771354,52.3292734 4.877434,52.3292702 4.8793201,52.3314763 4.8792949,52.3309162 4.8785589,52.330012 4.8772964,52.3295619 4.8771354))";4.87822775;52.33037325;
849;6024;"6024-6776";"POLYGON((4.8767941 52.4158197,4.8773329 52.4155635,4.8775398 52.4156437,4.8782707 52.4159918,4.8790023 52.4162798,4.8797352 52.4164617,4.8804692 52.4165386,4.8812039 52.4165567,4.8819394 52.4165196,4.8822826 52.4164796,4.8828348 52.4169371,4.8827836 52.4169922,4.881933 52.4170711,4.881198 52.4170817,4.8804634 52.4170494,4.8797293 52.4169754,4.8789964 52.4168031,4.8782643 52.416546,4.8777933 52.4162951,4.8767941 52.4158197))";"POLYGON((52.4158197 4.8767941,52.4155635 4.8773329,52.4156437 4.8775398,52.4159918 4.8782707,52.4162798 4.8790023,52.4164617 4.8797352,52.4165386 4.8804692,52.4165567 4.8812039,52.4165196 4.8819394,52.4164796 4.8822826,52.4169371 4.8828348,52.4169922 4.8827836,52.4170711 4.881933,52.4170817 4.881198,52.4170494 4.8804634,52.4169754 4.8797293,52.4168031 4.8789964,52.416546 4.8782643,52.4162951 4.8777933,52.4158197 4.8767941))";4.87981445;52.4163226;
850;6024;"6024-6776";"POLYGON((4.8796266 52.3317216,4.8796416 52.3294076,4.882339 52.3294259,4.8823047 52.3300333,4.882253 52.3304826,4.882215 52.3313812,4.8821715 52.331477,4.8819135 52.3318293,4.8814302 52.332149,4.8806962 52.3322008,4.8799654 52.3319515,4.8796266 52.3317216))";"POLYGON((52.3317216 4.8796266,52.3294076 4.8796416,52.3294259 4.882339,52.3300333 4.8823047,52.3304826 4.882253,52.3313812 4.882215,52.331477 4.8821715,52.3318293 4.8819135,52.332149 4.8814302,52.3322008 4.8806962,52.3319515 4.8799654,52.3317216 4.8796266))";4.8809828;52.3308042;
851;6024;"6024-6776";"POLYGON((4.8836865 52.4163013,4.8834478 52.416475,4.8830807 52.4166903,4.88302 52.41669,4.882694 52.4164315,4.8836865 52.4163013))";"POLYGON((52.4163013 4.8836865,52.416475 4.8834478,52.4166903 4.8830807,52.41669 4.88302,52.4164315 4.882694,52.4163013 4.8836865))";4.88319025;52.4164958;
852;6024;"6024-6776";"POLYGON((4.8835566 52.4168953,4.8843798 52.4163379,4.8845253 52.4162189,4.8848828 52.4161897,4.8863534 52.4161216,4.8869254 52.4160613,4.8866454 52.416248,4.8863998 52.416593,4.8845796 52.4167734,4.8835566 52.4168953))";"POLYGON((52.4168953 4.8835566,52.4163379 4.8843798,52.4162189 4.8845253,52.4161897 4.8848828,52.4161216 4.8863534,52.4160613 4.8869254,52.416248 4.8866454,52.416593 4.8863998,52.4167734 4.8845796,52.4168953 4.8835566))";4.885241;52.4164783;
853;6024;"6024-6776";"POLYGON((4.8854105 52.3322934,4.8855039 52.3318444,4.8858423 52.3311923,4.8859341 52.3309474,4.8860219 52.3304984,4.885939 52.3300487,4.8858576 52.3298265,4.8856732 52.3294485,4.8870486 52.3294578,4.8872111 52.330054,4.8872709 52.3305037,4.8872626 52.3309531,4.8871968 52.3318515,4.8872926 52.3323033,4.887655 52.3327523,4.8880226 52.3329951,4.8884478 52.333205,4.8887526 52.33332,4.8893845 52.3334962,4.8893653 52.3345983,4.8887398 52.3344598,4.8880086 52.3342445,4.8872787 52.3339148,4.8865499 52.3334963,4.8860819 52.333195,4.8855522 52.3327434,4.8854105 52.3322934))";"POLYGON((52.3322934 4.8854105,52.3318444 4.8855039,52.3311923 4.8858423,52.3309474 4.8859341,52.3304984 4.8860219,52.3300487 4.885939,52.3298265 4.8858576,52.3294485 4.8856732,52.3294578 4.8870486,52.330054 4.8872111,52.3305037 4.8872709,52.3309531 4.8872626,52.3318515 4.8871968,52.3323033 4.8872926,52.3327523 4.887655,52.3329951 4.8880226,52.333205 4.8884478,52.33332 4.8887526,52.3334962 4.8893845,52.3345983 4.8893653,52.3344598 4.8887398,52.3342445 4.8880086,52.3339148 4.8872787,52.3334963 4.8865499,52.333195 4.8860819,52.3327434 4.8855522,52.3322934 4.8854105))";4.8873975;52.3320234;
854;6024;"6024-6776";"POLYGON((4.8910691 52.3224308,4.8916348 52.3227787,4.891614 52.3231357,4.8901647 52.3230817,4.8906106 52.3228783,4.8910691 52.3224308))";"POLYGON((52.3224308 4.8910691,52.3227787 4.8916348,52.3231357 4.891614,52.3230817 4.8901647,52.3228783 4.8906106,52.3224308 4.8910691))";4.89089975;52.32278325;
855;6024;"6024-6776";"POLYGON((4.8895777 52.4156344,4.8900342 52.4155741,4.8907697 52.4155276,4.891504 52.4155809,4.8922376 52.4157003,4.8929709 52.4158427,4.8931758 52.4159107,4.8937021 52.4161706,4.8937739 52.4162395,4.8934915 52.4162384,4.8920655 52.4159971,4.8918028 52.415934,4.8895777 52.4156344))";"POLYGON((52.4156344 4.8895777,52.4155741 4.8900342,52.4155276 4.8907697,52.4155809 4.891504,52.4157003 4.8922376,52.4158427 4.8929709,52.4159107 4.8931758,52.4161706 4.8937021,52.4162395 4.8937739,52.4162384 4.8934915,52.4159971 4.8920655,52.415934 4.8918028,52.4156344 4.8895777))";4.8916758;52.41588355;
856;6024;"6024-6776";"POLYGON((4.8916213 52.420632,4.8925647 52.4196776,4.8929264 52.4194547,4.8932816 52.4190903,4.8929798 52.4189523,4.8935043 52.4184324,4.8937269 52.4185065,4.8941046 52.4181264,4.8938967 52.41861,4.893635 52.4190583,4.8935717 52.4195074,4.8936641 52.4196009,4.8943955 52.4199142,4.8950241 52.4199628,4.8958646 52.4200018,4.8973325 52.4201894,4.8980675 52.4201986,4.898253 52.4201864,4.8981593 52.4206463,4.8973276 52.4206474,4.8965929 52.4206109,4.895858 52.4205981,4.8951223 52.4206612,4.8943862 52.4207599,4.8932666 52.4208542,4.8921786 52.4209841,4.8917527 52.4208479,4.8916213 52.420632))";"POLYGON((52.420632 4.8916213,52.4196776 4.8925647,52.4194547 4.8929264,52.4190903 4.8932816,52.4189523 4.8929798,52.4184324 4.8935043,52.4185065 4.8937269,52.4181264 4.8941046,52.41861 4.8938967,52.4190583 4.893635,52.4195074 4.8935717,52.4196009 4.8936641,52.4199142 4.8943955,52.4199628 4.8950241,52.4200018 4.8958646,52.4201894 4.8973325,52.4201986 4.8980675,52.4201864 4.898253,52.4206463 4.8981593,52.4206474 4.8973276,52.4206109 4.8965929,52.4205981 4.895858,52.4206612 4.8951223,52.4207599 4.8943862,52.4208542 4.8932666,52.4209841 4.8921786,52.4208479 4.8917527,52.420632 4.8916213))";4.89493715;52.41955525;
857;6024;"6024-6776";"POLYGON((4.8931496 52.4183656,4.893346 52.4181583,4.8935969 52.41771,4.893673 52.4172609,4.8935725 52.4168111,4.8934945 52.4167262,4.894095 52.4167609,4.8941205 52.4168134,4.8941941 52.4172631,4.8941855 52.4177421,4.8936138 52.4181192,4.8932534 52.4183827,4.8931496 52.4183656))";"POLYGON((52.4183656 4.8931496,52.4181583 4.893346,52.41771 4.8935969,52.4172609 4.893673,52.4168111 4.8935725,52.4167262 4.8934945,52.4167609 4.894095,52.4168134 4.8941205,52.4172631 4.8941941,52.4177421 4.8941855,52.4181192 4.8936138,52.4183827 4.8932534,52.4183656 4.8931496))";4.89367185;52.41755445;
858;6024;"6024-6776";"POLYGON((4.896102 52.4043732,4.8975062 52.4037809,4.8982433 52.4042181,4.8989749 52.4045074,4.8997073 52.4047201,4.9004405 52.4048733,4.9011744 52.4049296,4.9019101 52.4048517,4.9022325 52.4047136,4.9025741 52.4044937,4.9060175 52.4062922,4.9062182 52.4064787,4.9068254 52.4078525,4.9065599 52.4084064,4.90628 52.408405,4.9055432 52.408594,4.9052572 52.4087704,4.9048019 52.4091852,4.9040587 52.409967,4.9038546 52.4101128,4.9033188 52.4104303,4.9025832 52.4104999,4.9018521 52.4101667,4.9017849 52.4101044,4.9014916 52.4096537,4.9015331 52.4092046,4.901661 52.4087557,4.9015462 52.4083058,4.9011409 52.4080025,4.9004103 52.4076217,4.8998784 52.4074002,4.8989469 52.4070526,4.8987115 52.4069461,4.8983526 52.4064952,4.8983156 52.4060457,4.8977866 52.4055942,4.8974949 52.4054596,4.896765 52.4050167,4.8962917 52.4046892,4.896102 52.4043732))";"POLYGON((52.4043732 4.896102,52.4037809 4.8975062,52.4042181 4.8982433,52.4045074 4.8989749,52.4047201 4.8997073,52.4048733 4.9004405,52.4049296 4.9011744,52.4048517 4.9019101,52.4047136 4.9022325,52.4044937 4.9025741,52.4062922 4.9060175,52.4064787 4.9062182,52.4078525 4.9068254,52.4084064 4.9065599,52.408405 4.90628,52.408594 4.9055432,52.4087704 4.9052572,52.4091852 4.9048019,52.409967 4.9040587,52.4101128 4.9038546,52.4104303 4.9033188,52.4104999 4.9025832,52.4101667 4.9018521,52.4101044 4.9017849,52.4096537 4.9014916,52.4092046 4.9015331,52.4087557 4.901661,52.4083058 4.9015462,52.4080025 4.9011409,52.4076217 4.9004103,52.4074002 4.8998784,52.4070526 4.8989469,52.4069461 4.8987115,52.4064952 4.8983526,52.4060457 4.8983156,52.4055942 4.8977866,52.4054596 4.8974949,52.4050167 4.896765,52.4046892 4.8962917,52.4043732 4.896102))";4.9014637;52.4071404;
859;6024;"6024-6776";"POLYGON((4.8987069 52.4201565,4.899539 52.420047,4.900276 52.4198746,4.9010135 52.4196477,4.9015108 52.41954,4.90175 52.4194987,4.9024858 52.4194362,4.9039565 52.4193662,4.9046916 52.419354,4.9054261 52.4193948,4.9061605 52.4194572,4.9068939 52.4195912,4.9076284 52.4196435,4.907628 52.4196722,4.9071761 52.4197816,4.9071767 52.4199013,4.9068907 52.4198938,4.9061562 52.419836,4.9046868 52.4197804,4.9024809 52.4198771,4.9017452 52.4199437,4.9015145 52.4199895,4.9010079 52.4201413,4.9002703 52.4203917,4.8995332 52.4205706,4.8987511 52.4206317,4.8987069 52.4201565))";"POLYGON((52.4201565 4.8987069,52.420047 4.899539,52.4198746 4.900276,52.4196477 4.9010135,52.41954 4.9015108,52.4194987 4.90175,52.4194362 4.9024858,52.4193662 4.9039565,52.419354 4.9046916,52.4193948 4.9054261,52.4194572 4.9061605,52.4195912 4.9068939,52.4196435 4.9076284,52.4196722 4.907628,52.4197816 4.9071761,52.4199013 4.9071767,52.4198938 4.9068907,52.419836 4.9061562,52.4197804 4.9046868,52.4198771 4.9024809,52.4199437 4.9017452,52.4199895 4.9015145,52.4201413 4.9010079,52.4203917 4.9002703,52.4205706 4.8995332,52.4206317 4.8987511,52.4201565 4.8987069))";4.90316765;52.41999285;
860;6024;"6024-6776";"POLYGON((4.9000727 52.3377534,4.9006774 52.3375289,4.9011717 52.3380242,4.9011698 52.338201,4.9012867 52.3382737,4.9013109 52.3386509,4.9011648 52.3386656,4.9011198 52.3386501,4.900435 52.3383027,4.9003056 52.3381975,4.9000727 52.3377534))";"POLYGON((52.3377534 4.9000727,52.3375289 4.9006774,52.3380242 4.9011717,52.338201 4.9011698,52.3382737 4.9012867,52.3386509 4.9013109,52.3386656 4.9011648,52.3386501 4.9011198,52.3383027 4.900435,52.3381975 4.9003056,52.3377534 4.9000727))";4.9006918;52.33809725;
861;6024;"6024-6776";"POLYGON((4.9032831 52.399882,4.9031393 52.3999375,4.9025476 52.399356,4.9031623 52.3997742,4.9032831 52.399882))";"POLYGON((52.399882 4.9032831,52.3999375 4.9031393,52.399356 4.9025476,52.3997742 4.9031623,52.399882 4.9032831))";4.90291535;52.39964675;
862;6024;"6024-6776";"POLYGON((4.9045776 52.4036504,4.9044927 52.4037695,4.9035306 52.4034223,4.9040306 52.4030411,4.9041344 52.4029976,4.9041305 52.4033732,4.9045776 52.4036504))";"POLYGON((52.4036504 4.9045776,52.4037695 4.9044927,52.4034223 4.9035306,52.4030411 4.9040306,52.4029976 4.9041344,52.4033732 4.9041305,52.4036504 4.9045776))";4.9040541;52.40338355;
863;6024;"6024-6776";"POLYGON((4.9099735 52.4030997,4.9102052 52.4029941,4.9104672 52.4028995,4.9099358 52.402546,4.9094338 52.4018894,4.9094231 52.4016738,4.9090169 52.4018318,4.9086119 52.4018621,4.9082701 52.4020843,4.9078909 52.4021466,4.9075231 52.4023687,4.9069518 52.4025632,4.9070789 52.4024864,4.9070833 52.4020697,4.9078208 52.4018211,4.9088192 52.4015947,4.9092943 52.4014281,4.9100313 52.401215,4.9102654 52.4012262,4.9103151 52.4012542,4.9103752 52.4017495,4.9105934 52.4020937,4.9113556 52.4028152,4.9114521 52.4030004,4.9107462 52.4030616,4.9099735 52.4030997))";"POLYGON((52.4030997 4.9099735,52.4029941 4.9102052,52.4028995 4.9104672,52.402546 4.9099358,52.4018894 4.9094338,52.4016738 4.9094231,52.4018318 4.9090169,52.4018621 4.9086119,52.4020843 4.9082701,52.4021466 4.9078909,52.4023687 4.9075231,52.4025632 4.9069518,52.4024864 4.9070789,52.4020697 4.9070833,52.4018211 4.9078208,52.4015947 4.9088192,52.4014281 4.9092943,52.401215 4.9100313,52.4012262 4.9102654,52.4012542 4.9103151,52.4017495 4.9103752,52.4020937 4.9105934,52.4028152 4.9113556,52.4030004 4.9114521,52.4030616 4.9107462,52.4030997 4.9099735))";4.90920195;52.40215735;
864;6024;"6024-6776";"POLYGON((4.911066 52.4012678,4.9114999 52.4012932,4.9122345 52.4012932,4.91297 52.4012107,4.9151784 52.4007984,4.9159127 52.4008491,4.917138 52.4011785,4.9173779 52.4012303,4.9177549 52.4012649,4.918166 52.4018604,4.9199201 52.4013883,4.9205719 52.4014547,4.9205899 52.4014787,4.920313 52.4015817,4.9201036 52.4016396,4.9195753 52.4018666,4.9188386 52.4020417,4.9181033 52.4021205,4.9173689 52.402074,4.9166357 52.4019525,4.9159015 52.4018971,4.9151659 52.4019829,4.9144295 52.4021379,4.9136928 52.4023374,4.9122178 52.4028532,4.9120646 52.4028828,4.911699 52.4024414,4.9112616 52.4018568,4.911066 52.4012678))";"POLYGON((52.4012678 4.911066,52.4012932 4.9114999,52.4012932 4.9122345,52.4012107 4.91297,52.4007984 4.9151784,52.4008491 4.9159127,52.4011785 4.917138,52.4012303 4.9173779,52.4012649 4.9177549,52.4018604 4.918166,52.4013883 4.9199201,52.4014547 4.9205719,52.4014787 4.9205899,52.4015817 4.920313,52.4016396 4.9201036,52.4018666 4.9195753,52.4020417 4.9188386,52.4021205 4.9181033,52.402074 4.9173689,52.4019525 4.9166357,52.4018971 4.9159015,52.4019829 4.9151659,52.4021379 4.9144295,52.4023374 4.9136928,52.4028532 4.9122178,52.4028828 4.9120646,52.4024414 4.911699,52.4018568 4.9112616,52.4012678 4.911066))";4.91582795;52.4018406;
